,Athlete,Age,Year,Closing Ceremony Date,Gold Medals,Silver Medals,Bronze Medals,Total Medals
959,Hripsime Khurshudyan,25,2012,08/12/2012,0,0,1,1
960,Kim Un-Guk,23,2012,08/12/2012,1,0,0,1
961,Irina Kulesha,26,2012,08/12/2012,0,0,1,1
962,Li Xueying,22,2012,08/12/2012,1,0,0,1
963,Lin Qingfeng,23,2012,08/12/2012,1,0,0,1
964,Lu Haojie,21,2012,08/12/2012,0,1,0,1
965,Lu Xiaojun,28,2012,08/12/2012,1,0,0,1
966,Maiya Maneza,26,2012,08/12/2012,1,0,0,1
967,Razvan Martin,20,2012,08/12/2012,0,0,1,1
968,Hiromi Miyake,26,2012,08/12/2012,0,1,0,1
969,Navab Nasirshelal,23,2012,08/12/2012,0,1,0,1
970,Om Yun-Chol,20,2012,08/12/2012,1,0,0,1
971,Svetlana Podobedova,26,2012,08/12/2012,1,0,0,1
972,Rim Jong-Sim,19,2012,08/12/2012,1,0,0,1
973,Kianoush Rostami,21,2012,08/12/2012,0,0,1,1
